ॐ { ओंकार }	Oṃ  { oṃkāra }	phrase	Om  [ āum, Omkara ]
अक्षमा	akṣamā	f.	anger
अक्षमा	akṣamā	f.	envy
अक्षमा	akṣamā	f.	inability
अक्षमा	akṣamā	f.	incompetence
अक्षमा	akṣamā	f.	intolerance
अक्षमा	akṣamā	f.	irritability
अक्षमा	akṣamā	f.	passion
अक्षमा	akṣamā	f.	sensitiveness
अक्षमात्र	akṣamātra	n.	anything as big as dice
अक्षमात्र	akṣamātra	n.	moment
अक्षमात्र	akṣamātra	n.	twinkling of an eye
अक्षमाला	akṣamālā	f.	string or rosary of beads
अक्षमाला	akṣamālā	f.	string or rosary of rudrākṣā (Eleocarpus - Bot. ) seeds
अक्षमालिका	akṣamālikā	f.	rosary
अक्षमालिन्	akṣamālin	adj.	wearing a rosary of seeds
अक्षमिन्	akṣamin	adj.	cruel
अक्षमिन्	akṣamin	adj.	intolerant
अक्षय	akṣaya	adj.	eternal
अक्षय	akṣaya	adj.	exempt from decay
अक्षय	akṣaya	adj.	imperishable
अक्षय	akṣaya	adj.	inexhaustible
अक्षय	akṣaya	adj.	undecaying
अक्षय	akṣaya	adj.	undying
अक्षयगुण	akṣayaguṇa	adj.	possessing imperishable qualities
अक्षयगुण	akṣayaguṇa	m.	ṣhiva
अक्षयता	akṣayatā	f.	imperishableness
अक्षयत्व	akṣayatva	n.	imperishableness
अक्षयनीवी	akṣayanīvī	f.	Buddhist
अक्षयनीवी	akṣayanīvī	f.	permanent endowment
अक्षयपुरुहूत	akṣayapuruhūta	m.	ṣhiva
अक्षयलोक	akṣayaloka	m.	heaven
अक्षयलोक	akṣayaloka	m.	undecaying world
अक्षया	akṣayā	f.	fourth day of a lunar month, if it fall on Wednesday
अक्षया	akṣayā	f.	seventh day of a lunar month, if it fall on ṣunday or ṃonday
अक्षयिणी	akṣayiṇī	adj.	undecaying
अक्षयिन्	akṣayin	adj.	undecaying
अक्षय्य	akṣayya	adj.	imperishable
अक्षय्य	akṣayya	adj.	undecaying
अक्षय्योदक	akṣayyodaka	n.	inexhaustible water
अक्षर	akṣara	adj.	fixed
अक्षर	akṣara	adj.	immutable
अक्षर	akṣara	adj.	imperishable
अक्षर	akṣara	adj.	unalterable
अक्षर	akṣara	m.	ṣhiva
अक्षर	akṣara	m.	sword
अक्षर	akṣara	m.	Vishnu
अक्षर	akṣara	n.	alphabet
अक्षर	akṣara	n.	character  [ computer ]
अक्षर	akṣara	n.	final beatitude religious austerity
अक्षर	akṣara	n.	indelible mark incised on metal or stone
अक्षर	akṣara	n.	letter
अक्षर	akṣara	n.	letter of alphabet
अक्षर	akṣara	n.	Prickly chaff flower  [ āchyranthes āspera - Bot. ]
अक्षर	akṣara	n.	sacrifice
अक्षर	akṣara	n.	sound
अक्षर	akṣara	n.	syllable
अक्षर	akṣara	n.	syllable om
अक्षर	akṣara	n.	vowel
अक्षर	akṣara	n.	water
अक्षर	akṣara	n.	word
अक्षरक	akṣaraka	n.	vowel
अक्षरगण	akṣaragaṇa	m.	character set  [ computer ]
अक्षरचञ्चु	akṣaracañcu	m.	scribe
अक्षरचण	akṣaracaṇa	m.	scribe
अक्षरचिह्न	akṣaracihna	n.	wildcard  [ computer ]
अक्षरचुञ्चु	akṣaracuñcu	m.	scribe
अक्षरच्युतक	akṣaracyutaka	n.	kind of game
अक्षरच्युतक	akṣaracyutaka	n.	supplying dropped  syllables
अक्षरछन्दस्	akṣarachandas	n.	metre regulated by the number and quality of syllables
अक्षरजननी	akṣarajananī	f.	letter producer
अक्षरजननी	akṣarajananī	f.	reed or pen
अक्षरजीवक	akṣarajīvaka	m.	one who lives by writing
अक्षरजीवक	akṣarajīvaka	m.	scribe
अक्षरजीविक	akṣarajīvika	m.	one who lives by writing
अक्षरजीविक	akṣarajīvika	m.	scribe
अक्षरजीविन्	akṣarajīvin	m.	one who lives by writing
अक्षरजीविन्	akṣarajīvin	m.	scribe
अक्षरतूलिका	akṣaratūlikā	f.	reed or pen
अक्षरन्यास	akṣaranyāsa	m.	alphabet
अक्षरन्यास	akṣaranyāsa	m.	array of syllables or letters
अक्षरपङ्क्ति	akṣarapaṅkti	f.	also called paṅkti or haṃsa
अक्षरबन्ध	akṣarabandha	m.	string  [ computer ]
अक्षरमुख	akṣaramukha	m.	having the mouth full of syllables
अक्षरमुख	akṣaramukha	m.	One who teaches or studies the alphabet
अक्षरमुख	akṣaramukha	m.	scholar
अक्षरमुख	akṣaramukha	m.	student
अक्षरमुष्टिका	akṣaramuṣṭikā	f.	art of communicating syllables or ideas by the fingers
अक्षरलिङ्ग	akṣaraliṅga	n.	wildcard  [ computer ]
अक्षरवत्	akṣaravat	adj.	possessing syllables
अक्षरशिक्षा	akṣaraśikṣā	f.	alphabetic science
अक्षरशून्य	akṣaraśūnya	adj.	inarticulate
अक्षरशः	akṣaraśaḥ	adverb	literally
अक्षरशः	akṣaraśaḥ	adverb	syllable by syllable
अक्षरशः	akṣaraśaḥ	adverb	to the letter
अक्षरसमाम्नाय	akṣarasamāmnāya	m.	alphabet
